Date,Signal,Type,GRAI_Value,1W,1M,3M,6M,12M
2014-12-26,Panic (Buy),Entry,-2.0288900864115744,-0.03264603706437019,-0.041464586594841646,-0.0012112531648854619,-0.014903568445563509,-0.015449292755787325
2015-01-07,Panic (Buy),Bottom,-2.1704069757461353,-0.007221484133721701,0.014595955344644862,0.03222266964799658,0.012542590391170227,-0.04087568863014379
2015-01-15,Panic (Buy),Exit,-1.995438873513907,0.029683802691664152,0.05403305192069596,0.044417733866300546,0.067231325647654,-0.05637666317711154
2015-01-29,Panic (Buy),Entry,-2.02178489419708,0.020418067795299866,0.047564572704081653,0.03179221262368581,0.04323061611008039,-0.04007916376777987
2015-03-13,Panic (Buy),Bottom,-2.536890214105654,0.026638841878810382,0.02066825146842266,0.01982575582654822,-0.04497411995111955,-0.01644097073189643
2015-04-08,Panic (Buy),Exit,-1.9663052035399904,0.011878563633587635,0.0029300628956188124,-0.01691716714773983,-0.04898403534369311,-0.01920835296598211
2016-06-13,Euphoria (Sell),Entry,2.1038929851426986,0.0020153056131932967,0.03528992476364601,0.038469297766629884,0.08680363511249056,0.17377566250148258
2016-06-23,Euphoria (Sell),Peak,2.8054708513145385,-0.006842295757275241,0.02610106861484396,0.030217790592802274,0.07185843051173157,0.153776981222272
2016-06-30,Euphoria (Sell),Exit,1.918510782498063,0.014788882218549793,0.0342947965965994,0.024903887212774034,0.07165789745200923,0.1546314609248347
2016-07-05,Euphoria (Sell),Entry,2.0548366056811225,0.030446885285645875,0.03602498789846664,0.03478485104271911,0.08105145930874724,0.16470277570192104
2016-07-21,Euphoria (Sell),Peak,3.451147675145522,0.0022585463936775074,0.008636825739896548,-0.009643530792455501,0.04902161980286257,0.1419611985563345
2016-09-12,Euphoria (Sell),Exit,1.9953032927966874,-0.00922628645814727,-0.01033332323166991,0.04654382893149589,0.09560263282518955,0.1562916552269098
2016-10-06,Euphoria (Sell),Entry,2.0138284117477405,-0.013060145433361314,-0.03498293997388169,0.053781735162500066,0.09013917157805751,0.17982481017486673
2016-10-07,Euphoria (Sell),Peak,2.0469062977380315,-0.009639051073832672,-0.010316923493028929,0.053469737587424904,0.09444961917286188,0.18154001504695394
2016-10-10,Euphoria (Sell),Exit,1.9899249414492899,-0.017174562370639523,-0.011138466531059321,0.0486398022375778,0.08786968604606149,0.17885434688831436
2020-03-10,Panic (Buy),Entry,-2.1775538426499472,-0.12248850419808743,-0.045884610491245925,0.11274254774042247,0.15599383479758022,0.35270609389736096
2020-03-20,Panic (Buy),Bottom,-3.335972535463026,0.10262831544954354,0.18726903812242668,0.3439685955399414,0.440167156871468,0.709642947024834
2020-05-06,Panic (Buy),Exit,-1.9460854235230507,-0.00997743403517981,0.12129883206904046,0.16828631690678297,0.18281714231642954,0.4750704714990699
2020-09-16,Euphoria (Sell),Entry,2.1366544341259743,-0.043884362023793644,0.028902787466069446,0.09131030599553602,0.15654158548152597,0.3214483022855683
