Date,Signal,Type,GRAI_Value,1W,1M,3M,6M,12M
2014-07-28,Euphoria (Sell),Entry,2.032349364751487,-0.02017274320500395,0.010667481081479968,-0.007241399496435541,0.02558985187491314,0.05777926426438551
2014-08-04,Euphoria (Sell),Peak,2.1275878918399678,-0.001067538408907609,0.03183615221308522,0.04077383534310752,0.057266948061489575,0.07959302466865514
2014-08-08,Euphoria (Sell),Exit,1.9616145878440208,0.012150659916826623,0.029431699580088733,0.05157409019511072,0.05961411399502703,0.08935124372890213
2016-07-13,Euphoria (Sell),Entry,2.0748708077106492,0.009565973594750643,0.015498812263982531,-0.007294059119456797,0.05709367580903346,0.13724030786879782
2016-07-20,Euphoria (Sell),Peak,2.5699110733875647,-0.002963590463211263,0.006442646581332534,-0.015379481815454787,0.04172530444268929,0.13825456228674415
2016-08-02,Euphoria (Sell),Exit,1.9937577920110379,0.011455547953384215,0.006453281449928294,-0.014316039430935068,0.05680033094911874,0.14860249264447467
2016-08-05,Euphoria (Sell),Entry,2.03588472733801,0.0005405413869266074,0.0016537233492852632,-0.04315886883801834,0.05025032893279935,0.13653574373260557
2016-08-15,Euphoria (Sell),Peak,2.5979807024425603,-0.003428993493818977,-0.02939519470498575,-0.011734334323131312,0.06731510734652457,0.1253157168760075
2016-08-31,Euphoria (Sell),Exit,1.9882599584771359,0.004767543190326906,-0.0012344511393173052,0.012833141273863147,0.09773148657853481,0.13851077083078667
2020-03-13,Panic (Buy),Entry,-2.128671549494515,-0.14979605267779128,0.049811524108866356,0.1218323865862152,0.23236639590761743,0.46400244661140544
2020-03-20,Panic (Buy),Bottom,-2.2834058058056765,0.10262831544954354,0.18726903812242668,0.3439685955399414,0.440167156871468,0.709642947024834
2020-04-08,Panic (Buy),Exit,-1.979949641116617,0.018025610626781985,0.06538959179212767,0.14620836195718034,0.24344175800995704,0.5013926770418606
2020-11-11,Euphoria (Sell),Entry,2.0193233233483214,-0.001363094491689143,0.025415251118742654,0.10137269567362539,0.16827523479331652,0.3013469330715617
2020-11-13,Euphoria (Sell),Peak,2.1227828707159926,-0.007701174018748924,0.030534348026057367,0.09655947037387169,0.1513688940667388,0.3061656924376228
2020-11-18,Euphoria (Sell),Exit,1.9227030321681426,0.017338425917435618,0.03969400427052272,0.08652694176438103,0.1648274752101937,0.3186146010707236
2025-04-08,Panic (Buy),Entry,-2.19949425441803,0.08305819085749899,0.1367050695105292,0.2604354478171018,0.35541479706484647,
2025-04-10,Panic (Buy),Bottom,-3.0126696973826093,0.002780989392310529,0.10936497529049594,0.18992042425567002,0.24382077022024173,
2025-04-17,Panic (Buy),Exit,-1.8212457878485206,0.04590640328977713,0.12889239918402584,0.19363201857478107,0.2614779410609327,
